file_name,route_name,route_distance_m,avg_elevation_gain_per_km,center_coordinates
indomit-bombinhas-42-2024.gpx,Indomit Bombinhas 2024 - 42km,43397.69307466271,34.875125675370064,[-27.17098399 -48.51256124]
indomit-saobentosdosapucai-12-2024.gpx,Indomit Pedra do Baú 2024 - 12 Km,11994.249925275943,48.38985377292338,[-22.6716663  -45.72225641]
indomit-saobentosdosapucai-21-2024.gpx,Indomit Pedra do Baú 2024 - 21 Km,21630.599827200214,55.370632787256696,[-22.66303484 -45.70961428]
indomit-saobentosdosapucai-35-2024.gpx,Indomit Pedra do Baú 2024 - 35 Km,37208.87639299386,49.711256541686026,[-22.65566455 -45.69951055]
indomit-saobentosdosapucai-50-2024.gpx,Indomit Pedra do Baú 2024 - 50 km,51924.3153186295,55.70607878506258,[-22.66361251 -45.68854434]
indomit-saobentosdosapucai-80-2024.gpx,Indomit Pedra do Baú 2024 - 80 Km,79131.23955699315,51.342554757705166,[-22.64055549 -45.68272105]
ktr-campos-27-2024.gpx,KTR Campos do Jordão 2024 - 27km,25844.56856428053,60.51561650603779,[-22.77333873 -45.5150183 ]
ktr-campos-50-2024.gpx,KTR Campos do Jordão 2024 - 50km,56815.02352486636,40.49281083185843,[-22.69605711 -45.52447576]
ktr-campos-80-2024.gpx,KTR Campos do Jordão 2024 - 80km,74688.78588799592,47.63097910488013,[-22.71324556 -45.52285671]
ktr-ilhabela-21-2024.gpx,KTR Ilhabela 2024 - 21km,21231.661300086373,45.85133429931081,[-23.8205356  -45.35666905]
ktr-ilhabela-42-2024.gpx,KTR Ilhabela 2024 - 42km,41703.876670503705,58.62764316414968,[-23.82412284 -45.36615106]
ktr-ilhabela-60-2024.gpx,KTR Ilhabela 2024 - 60 km,59913.52172375102,53.433680876931206,[-23.81529503 -45.36322566]
lamision-brasil-15-2025.gpx,La Misión Brasil 2025 - 15km,15677.214172514974,55.64764188330584,[-22.39212127 -44.94838542]
lamision-brasil-25-2025.gpx,La Misión Brasil 2025 - 25km,24656.56403387365,66.89415434097192,[-22.41036013 -44.93468164]
lamision-brasil-35-2024.gpx,La Misión Brasil 2024 - 35km,37747.06280361805,73.43882660280248,[-22.40144783 -44.93468619]
lamision-brasil-35-2025.gpx,La Misión Brasil 2025 - 35km,37747.06280361805,73.43882660280248,[-22.40144783 -44.93468619]
lamision-brasil-55-2025.gpx,La Misión Brasil 2025 - 55km,56332.35267885922,75.75043109465946,[-22.41645473 -44.89657682]
lamision-brasil-7-2025.gpx,La Misión Brasil 2025 - 7km,7164.235392778418,44.02423743892127,[-22.39114424 -44.95708292]
lamision-brasil-80-2025.gpx,La Misión Brasil 2025 - 80km,87457.54694692511,69.39252485188884,[-22.40419803 -44.87113139]
mallorca-byutmb-100k-2024.gpx,Mallorca by UTMB 2024 - 100km,69552.82270634947,63.65790528291252,[39.80629351  2.86130994]
mallorca-byutmb-100m-2024.gpx,Mallorca by UTMB 2024 - 100mi,147704.66295090446,43.55068902522157,[39.77859036  2.79728999]
mallorca-byutmb-20k-2024.gpx,Mallorca by UTMB (CDA) 2024 - 20km,26691.687029015506,39.06114332026375,[39.75234744  2.65341359]
mallorca-byutmb-50k-2024.gpx,Mallorca by UTMB (ETM) 2024 - 50km,47047.032555503436,50.007000913914,[39.77651026  2.76515998]
mcc-utmb-2020.gpx,MCC 2020 - UTMB,39010.83578610409,55.73323298995986,[46.02055249  6.97055059]
miut-madeira-island-ultra-trail-2024-miut-115.gpx,Madeira Island Ultra-Trail 2024 - MIUT 115,115959.88596940643,63.42710617998083,[ 32.76684247 -16.98385934]
miut-madeira-island-ultra-trail-2024-miut-16.gpx,Madeira Island Ultra-Trail 2024 - MIUT 16,15810.299822067747,27.71610943066165,[ 32.75116617 -16.78666952]
miut-madeira-island-ultra-trail-2024-miut-42.gpx,Madeira Island Ultra-Trail 2024 - MIUT 42,43302.79815142996,41.20057077514937,[ 32.7351433  -16.84238258]
miut-madeira-island-ultra-trail-2024-miut-60.gpx,Madeira Island Ultra-Trail 2024 - MIUT 60,60801.288498756316,56.99879205801539,[ 32.75568613 -16.89843993]
miut-madeira-island-ultra-trail-2024-miut-85.gpx,Madeira Island Ultra-Trail 2024 - MIUT 85,84399.99799112076,60.31753698069507,[ 32.74809011 -16.9223462 ]
monsultratrail-novatrento-100k-2024.gpx,Mons Ultra Trail 2024 - 100km,105776.43712595059,58.446854214219755,[-27.27041052 -48.98892418]
monsultratrail-novatrento-12k-2024.gpx,Mons Ultra Trail 2024 - 12km,12806.55914484056,49.654243017820136,[-27.26983014 -48.92042219]
monsultratrail-novatrento-25k-2024.gpx,Mons Ultra Trail 2024 - 25km,24330.910803135706,42.59191151473228,[-27.26512947 -48.93981699]
